substring,family,log10_span_cost,action,note,params
-a-b-c-d-e-f,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""a"",""length"":6}"
-b-c-d-e-f-g,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""b"",""length"":6}"
-c-d-e-f-g-h,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""c"",""length"":6}"
-d-e-f-g-h-i,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""d"",""length"":6}"
-e-f-g-h-i-j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""e"",""length"":6}"
-f-g-h-i-j-k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""f"",""length"":6}"
-g-h-i-j-k-l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""g"",""length"":6}"
-h-i-j-k-l-m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""h"",""length"":6}"
-i-j-k-l-m-n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""i"",""length"":6}"
-j-k-l-m-n-o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""j"",""length"":6}"
-k-l-m-n-o-p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""k"",""length"":6}"
-l-m-n-o-p-q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""l"",""length"":6}"
-m-n-o-p-q-r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""m"",""length"":6}"
-n-o-p-q-r-s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""n"",""length"":6}"
-o-p-q-r-s-t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""o"",""length"":6}"
-p-q-r-s-t-u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""p"",""length"":6}"
-q-r-s-t-u-v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""q"",""length"":6}"
-r-s-t-u-v-w,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""r"",""length"":6}"
-s-t-u-v-w-x,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""s"",""length"":6}"
-t-u-v-w-x-y,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""t"",""length"":6}"
-u-v-w-x-y-z,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""-"",""start_letter"":""u"",""length"":6}"
