family,condition,n_passwords,avg_zxcvbn_log10,avg_best_llm_log10,avg_uniform_mixture_llm_log10,avg_best_plus_log10M_llm_log10,avg_qwen25_1p5b_llm_remainder_log10,avg_mistral7b_v03_llm_remainder_log10
brainrot,control,8,10.591468291321195,8.685253364136559,8.882665174150336,8.98628335980054,9.37342740198029,8.959975215965338
brainrot,linked,8,11.11255537808859,9.742212617944459,9.906170792125371,10.04324261360844,10.890292618619057,9.916098863076023
campus,control,8,9.397574230516666,7.996039693958089,8.208749002606403,8.29706968962207,9.728255723444462,8.163535403313594
campus,linked,8,9.335053777615272,7.297967883152709,7.481532257411597,7.59899787881669,8.637586154646442,7.478116258770802
gacha_anime,control,8,11.193513785494586,8.407119629954945,8.670351259942464,8.708149625618926,10.068711104385319,8.606289748713337
gacha_anime,linked,8,11.707779850372592,8.057261829132134,8.31511235090246,8.358291824796115,9.695578116361206,8.237407273182502
gaming,control,8,10.29773322391322,6.970427477833045,7.186384489704659,7.271457473497026,8.361148933619067,7.064212328714897
gaming,linked,8,10.594235071387013,5.578940862233693,5.81779643931285,5.879970857897674,7.406828022904377,5.769227158216355
public_culture,control,6,5.821679732681861,6.044846681687034,6.181146296072722,6.345876677351015,6.147239923778652,6.36388033901979
public_culture,linked,6,6.797896195897327,3.056053720719379,3.2632046226236295,3.3570837163833604,3.468357844965663,3.57491950645823
random,random,10,9.775417518450535,8.4512322025579,8.624962072000129,8.752262198221882,8.541587500132405,9.32134143585878
tech_web,control,7,8.474836101349288,6.08525391116447,6.331788634130687,6.386283906828451,6.9815013334895,6.362658033346157
tech_web,linked,7,8.718800452678009,4.078366422172398,4.227771648993879,4.37939641783638,4.524267877844058,4.16388719895681
