template_id,template_group,n_pos,n_neg,n_ambiguous,mean_p_yes_pos,mean_p_yes_neg,mean_p_yes_ambiguous,false_positive_rate_at_0p8,false_negative_rate_at_0p8,separation_pos_minus_neg,auc_pos_vs_neg
S5_simple_explanation,compression,57,35,57,0.6167560908597336,0.58829434896423,0.614791782224798,0.0,1.0,0.028461741895503545,0.6756892230576441
S7_semantic_specific,semantic,57,35,57,0.3247524552151809,0.2995726745189854,0.3106615087339141,0.0,1.0,0.02517978069619553,0.6461152882205514
S9_security_auditor,attacker,57,35,57,0.4488846458521657,0.43964155218353845,0.43791216508339964,0.0,1.0,0.009243093668627245,0.5604010025062658
S3_short_generator,compression,57,35,57,0.6122145100373111,0.6157958103434888,0.616940545037632,0.0,1.0,-0.0035813003061777593,0.5203007518796993
S4_reject_structured,policy,57,35,57,0.7961717413455247,0.7952264256150263,0.792981830858263,0.5428571428571428,0.47368421052631576,0.0009453157304983861,0.5182957393483709
S8_not_random,broad,57,35,57,0.5978662175070272,0.6231848900216482,0.5913763460044867,0.0,1.0,-0.025318672514621055,0.39999999999999997
S6_sequence_specific,sequence,57,35,57,0.26930029188322907,0.2876832255825695,0.2589635954189083,0.0,1.0,-0.01838293369934041,0.34235588972431075
S0_broad_original,broad,57,35,57,0.3577566764953701,0.3934204084308081,0.34683002602725727,0.0,1.0,-0.03566373193543804,0.33984962406015035
S1_attacker_rule,attacker,57,35,57,0.5972842027813703,0.6452868910916137,0.5873923762868827,0.0,1.0,-0.04800268831024346,0.28370927318295736
S2_length_meter_overestimate,overestimate,57,35,57,0.6504581305113013,0.6929975262288549,0.6434828518816471,0.0,0.9824561403508771,-0.04253939571755361,0.28170426065162907
